V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,1.0,1.0,0.3,0.006579332246575682,0.41075415902537143,1.6422243393679385,1.0273493049429652
1.0,1.0,1.0,0.3,0.011103363181676379,0.41071907585041206,1.642273226930869,1.0188723796901031
1.0,1.0,1.0,0.3,0.01873817422860383,0.4106866904694313,1.6423183538908945,1.012348278965964
1.0,1.0,1.0,0.3,0.03162277660168379,0.4106627217390774,1.6423517519873654,1.0077874228539816
1.0,1.0,1.0,0.4,0.0001,0.4171432686051745,1.633296870095687,1.062758489189772
1.0,1.0,1.0,0.4,0.0001687612475788147,0.4179795000748861,1.6321247943455273,1.0612768929903456
1.0,1.0,1.0,0.4,0.0002848035868435802,0.4188369426272042,1.630922114152841,1.0594249173460486
1.0,1.0,1.0,0.4,0.0004806380863064389,0.4196714150375571,1.6297508005426347,1.0570451406653227
1.0,1.0,1.0,0.4,0.0008111308307896872,0.42040389365084035,1.6287219570915203,1.0538820880096096
1.0,1.0,1.0,0.4,0.0013688745095370807,0.42093099439967835,1.6279811862092868,1.0494624656610796
1.0,1.0,1.0,0.4,0.002310129700083158,0.42120425554922136,1.6275970208498902,1.0432284370167153
1.0,1.0,1.0,0.4,0.003898603702549072,0.4212759397740627,1.6274962282605843,1.0352364222389652
1.0,1.0,1.0,0.4,0.006579332246575682,0.42124244333832045,1.6275433271612194,1.026559559284859
1.0,1.0,1.0,0.4,0.011103363181676379,0.421177890242466,1.6276340905817068,1.0186288541593262
1.0,1.0,1.0,0.4,0.01873817422860383,0.421118123466688,1.6277181197930093,1.0123422395940098
1.0,1.0,1.0,0.4,0.03162277660168379,0.42107354818341886,1.627780787672692,1.0078513645964673
1.0,1.0,1.0,0.5,0.0001,0.4242924039117161,1.6232492147050803,1.0605146992925878
1.0,1.0,1.0,0.5,0.0001687612475788147,0.4250345002306393,1.6222026802186273,1.0591889238308554
1.0,1.0,1.0,0.5,0.0002848035868435802,0.4257614878004187,1.6211767976182316,1.0574839996499201
1.0,1.0,1.0,0.5,0.0004806380863064389,0.4264295646838385,1.6202334736181934,1.0551928897070004
1.0,1.0,1.0,0.5,0.0008111308307896872,0.42697703305473717,1.6194600391002536,1.051997848342894
1.0,1.0,1.0,0.5,0.0013688745095370807,0.42733446806007824,1.6189548743538225,1.0474453383470308
1.0,1.0,1.0,0.5,0.002310129700083158,0.42747716626610127,1.6187531542076254,1.0411353770492393
1.0,1.0,1.0,0.5,0.003898603702549072,0.4274582498518162,1.6187798961562054,1.0332762344297097
1.0,1.0,1.0,0.5,0.006579332246575682,0.4273646773049939,1.6189121722471056,1.0249346721467238
1.0,1.0,1.0,0.5,0.011103363181676379,0.4272613006666905,1.6190582950402195,1.0174185415019628
1.0,1.0,1.0,0.5,0.01873817422860383,0.42717701058914426,1.6191774292358576,1.011510438589151
1.0,1.0,1.0,0.5,0.03162277660168379,0.4271172525498601,1.619261884946291,1.0073104657566825
1.0,1.0,1.0,0.7,0.0001,0.43210896861698195,1.6121918693401498,1.0595723337014287
1.0,1.0,1.0,0.7,0.0001687612475788147,0.43242401826346677,1.6117446084090021,1.0586262031661746
1.0,1.0,1.0,0.7,0.0002848035868435802,0.43268599492406734,1.6113725981245024,1.0571244924449854
1.0,1.0,1.0,0.7,0.0004806380863064389,0.43286823893104676,1.6111137585891961,1.0547040778352645
