world,channel,test_type,t,y,lo,hi
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,4,0.05307534488403776,0.05174788239174032,0.054402807376335204
"3. noisy world (.1), eps inferred",total (true EIG),background,4,0.055687269828649875,0.05435651532637178,0.05701802433092797
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,4,0.0033940378136477376,0.0033593219126251965,0.0034287537146702788
"3. noisy world (.1), eps inferred",KL (realized),background,4,0.04689784547418994,0.038949919239509925,0.05484577170886995
"3. noisy world (.1), eps inferred",implemented EIG,background,4,0.1284503836519695,0.12519841832885112,0.1317023489750879
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,5,0.0018274727390125928,0.0018138233226685284,0.0018411221553566572
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,5,0.05226245895298298,0.050951802409845724,0.05357311549612024
"3. noisy world (.1), eps inferred",total (true EIG),background,5,0.054089931691995594,0.0527740428149918,0.055405820568999384
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,5,0.0023446977456126304,0.0023190892886329408,0.00237030620259232
"3. noisy world (.1), eps inferred",KL (realized),background,5,0.05348954312667715,0.04608416569328521,0.06089492056006909
"3. noisy world (.1), eps inferred",implemented EIG,background,5,0.12310571364039449,0.11959716949413901,0.12661425778664998
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,6,0.001350091728776007,0.0013399739215986866,0.0013602095359533275
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,6,0.05139652525950947,0.05009406683828905,0.05269898368072989
"3. noisy world (.1), eps inferred",total (true EIG),background,6,0.052746616988285484,0.05144088863426209,0.05405234534230888
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,6,0.0017199725815578038,0.0017010932308102523,0.0017388519323053553
"3. noisy world (.1), eps inferred",KL (realized),background,6,0.04872730695379988,0.0400973071497529,0.05735730675784685
"3. noisy world (.1), eps inferred",implemented EIG,background,6,0.11816551988418968,0.11483855673968554,0.12149248302869381
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,7,0.0010370063567993692,0.0010292056274091323,0.001044807086189606
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,7,0.05047420569016536,0.049253619219951,0.05169479216037971
"3. noisy world (.1), eps inferred",total (true EIG),background,7,0.05151121204696474,0.05028782054233814,0.05273460355159134
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,7,0.00131910267398674,0.0013051555780020168,0.0013330497699714633
"3. noisy world (.1), eps inferred",KL (realized),background,7,0.04250566137359997,0.04000852996232679,0.04500279278487315
"3. noisy world (.1), eps inferred",implemented EIG,background,7,0.1143874776281222,0.11132687646633682,0.11744807878990757
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,8,0.0008227707029492428,0.0008163785405491636,0.000829162865349322
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,8,0.04918123811653711,0.047952373187720845,0.05041010304535337
"3. noisy world (.1), eps inferred",total (true EIG),background,8,0.05000400881948635,0.04877339693358502,0.05123462070538768
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,8,0.0010457607853352608,0.0010346437342063665,0.001056877836464155
"3. noisy world (.1), eps inferred",KL (realized),background,8,0.04633912123529817,0.042560276528762896,0.05011796594183344
"3. noisy world (.1), eps inferred",implemented EIG,background,8,0.11027091868901609,0.10721426662670268,0.1133275707513295
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,9,0.0006679241162136245,0.0006622401551431544,0.0006736080772840946
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,9,0.04850507188119395,0.04731079235763199,0.049699351404755905
"3. noisy world (.1), eps inferred",total (true EIG),background,9,0.04917299599740756,0.04797722895556732,0.0503687630392478
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,9,0.0008516128522011022,0.0008429857684448299,0.0008602399359573745
"3. noisy world (.1), eps inferred",KL (realized),background,9,0.04785857403562022,0.038627333973749914,0.05708981409749053
"3. noisy world (.1), eps inferred",implemented EIG,background,9,0.10790002969182717,0.10490953701704467,0.11089052236660968
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,10,0.0005534370721487702,0.0005486965599403312,0.0005581775843572092
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,10,0.04786433457809993,0.04671584167848781,0.04901282747771205
"3. noisy world (.1), eps inferred",total (true EIG),background,10,0.0484177716502487,0.047267867410451345,0.049567675890046056
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,10,0.0007112051425230627,0.00070383934514037,0.0007185709399057554
"3. noisy world (.1), eps inferred",KL (realized),background,10,0.04238648737387847,0.03724273463768796,0.04753024011006898
"3. noisy world (.1), eps inferred",implemented EIG,background,10,0.10590002264019473,0.10300977212974574,0.10879027315064371
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,11,0.00046722982179920675,0.0004633423075361752,0.0004711173360622383
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,11,0.04689527147566887,0.045776486049629486,0.04801405690170825
"3. noisy world (.1), eps inferred",total (true EIG),background,11,0.04736250129746807,0.046242148759230314,0.04848285383570583
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,11,0.0006028184727433997,0.0005966309191233138,0.0006090060263634857
"3. noisy world (.1), eps inferred",KL (realized),background,11,0.06056414469660429,0.05160578935941661,0.06952250003379197
"3. noisy world (.1), eps inferred",implemented EIG,background,11,0.10358283432056634,0.10079025784928508,0.10637541079184759
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,12,0.0003981195996683016,0.00039478955580613554,0.0004014496435304677
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,12,0.047575772581677556,0.04629382529957772,0.04885771986377739
"3. noisy world (.1), eps inferred",total (true EIG),background,12,0.047973892181345845,0.04668997854760173,0.04925780581508996
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,12,0.0005210604256104858,0.0005150902290063486,0.0005270306222146231
"3. noisy world (.1), eps inferred",KL (realized),background,12,0.03820577577202339,0.03373655861002816,0.042674992934018614
"3. noisy world (.1), eps inferred",implemented EIG,background,12,0.1039971437234219,0.10079291108931426,0.10720137635752955
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,13,0.00034393479745868,0.0003411001367224894,0.0003467694581948706
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,13,0.04729321872846616,0.04606696250918279,0.04851947494774953
"3. noisy world (.1), eps inferred",total (true EIG),background,13,0.04763715352592484,0.046409409139313317,0.04886489791253636
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,13,0.00045532842289402954,0.0004503019934037085,0.0004603548523843506
"3. noisy world (.1), eps inferred",KL (realized),background,13,0.03953211468788447,0.03582175731428924,0.0432424720614797
"3. noisy world (.1), eps inferred",implemented EIG,background,13,0.1026806885254116,0.09966405576292121,0.10569732128790198
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,14,0.0003000085522350401,0.0002976953977391949,0.0003023217067308853
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,14,0.046982771587531495,0.04589528597150393,0.048070257203559064
"3. noisy world (.1), eps inferred",total (true EIG),background,14,0.047282780139766535,0.04619405929408198,0.048371500985451094
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,14,0.00040209073345495494,0.00039788249011202145,0.00040629897679788843
"3. noisy world (.1), eps inferred",KL (realized),background,14,0.049835590079903666,0.04207668703221237,0.05759449312759496
"3. noisy world (.1), eps inferred",implemented EIG,background,14,0.10164165390552315,0.09903972364153045,0.10424358416951586
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,15,0.0002643307935557232,0.00026219989164364256,0.00026646169546780385
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,15,0.046340189628611986,0.04514412656321146,0.04753625269401251
"3. noisy world (.1), eps inferred",total (true EIG),background,15,0.046604520422167714,0.0454073593531429,0.04780168149119253
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,15,0.0003582858583599593,0.0003540320420407433,0.0003625396746791753
"3. noisy world (.1), eps inferred",KL (realized),background,15,0.04471742890242237,0.03899844748416453,0.050436410320680206
"3. noisy world (.1), eps inferred",implemented EIG,background,15,0.10029065106895646,0.09756621051750922,0.1030150916204037
"3. noisy world (.1), eps inferred",I_mu (concept mean),deviant,1,0.016299584171198547,0.01623217878228314,0.016366989560113954
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),deviant,1,0.06156968603886094,0.06030858428989186,0.06283078778783002
"3. noisy world (.1), eps inferred",total (true EIG),deviant,1,0.07786927021005947,0.07661795291266818,0.07912058750745077
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),deviant,1,0.029128526194901184,0.028695545716343848,0.02956150667345852
"3. noisy world (.1), eps inferred",KL (realized),deviant,1,0.0834053362006906,0.08051090260027112,0.08629976980111008
"3. noisy world (.1), eps inferred",implemented EIG,deviant,1,0.18301415368495946,0.18000036027516805,0.18602794709475087
"3. noisy world (.1), eps inferred",I_mu (concept mean),deviant,2,0.007106053338771631,0.007070278786287459,0.0071418278912558026
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),deviant,2,0.05736041124201734,0.0560691700497828,0.058651652434251876
"3. noisy world (.1), eps inferred",total (true EIG),deviant,2,0.06446646458078895,0.06316989709203762,0.06576303206954028
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),deviant,2,0.012216871965242746,0.012079819839406468,0.012353924091079023
"3. noisy world (.1), eps inferred",KL (realized),deviant,2,0.07025340433278673,0.06210960933562635,0.07839719932994713
"3. noisy world (.1), eps inferred",implemented EIG,deviant,2,0.14659130590138222,0.1434393378329342,0.14974327396983025
"3. noisy world (.1), eps inferred",I_mu (concept mean),deviant,3,0.003993783510034482,0.003969309159881516,0.004018257860187449
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),deviant,3,0.056299478291635265,0.05501859684491032,0.05758035973836021
"3. noisy world (.1), eps inferred",total (true EIG),deviant,3,0.06029326180166973,0.0590113572942972,0.061575166309042265
